mean1	mean2	sd1	sd2	sampleID
-3.052586	-3.4551697	-6.133485	-5.9657	SALU_CentAsia_SALU_13122
-2.569376	-3.1188428	-5.8015466	-6.0337157	AZWK_Mali_AZWK_15369
-3.7358696	-3.9943116	-6.1563764	-6.0033083	SALU_CentAsia_SALU_22847
-3.0766578	-3.5573359	-6.0104346	-6.063981	SALU_CentAsia_SALU_22848
-2.6288466	-3.2030923	-5.880529	-5.9633512	AZWK_Mali_AZWK_23339
-2.6282158	-3.2084363	-5.6617856	-6.064952	AZWK_Mali_AZWK_23340
-2.795799	-3.4262936	-5.7531877	-5.966255	AZWK_Mali_AZWK_23341
-3.0288718	-3.7388504	-6.00724	-5.8097095	AZWK_Mali_AZWK_23342
-3.088174	-3.4717584	-6.071338	-6.0195694	SALU_Tribal_SALU_23361
-3.0768523	-3.4330676	-6.0031605	-5.9941473	SALU_ArabPen_SALU_23362
-2.64328	-3.170115	-5.8547206	-6.024122	SLOU_NAfrica_SLOU_23547
-2.8716168	-3.24843	-6.2717004	-5.948161	SALU_Tribal_SALU_24003
-2.465826	-3.9128807	-6.5590568	-5.0682535	SALU_ArabPen_SALU_24265
-2.6102128	-3.218954	-5.9580274	-5.9898825	SLOU_NAfrica_SLOU_24401
-3.0599375	-3.4516754	-6.179693	-5.893162	SALU_ArabPen_SALU_24402
-3.0505638	-3.437965	-6.1189265	-5.8771505	SALU_ArabPen_SALU_24403
-2.4194787	-3.8553877	-6.110636	-5.5582995	SLOU_NAfrica_SLOU_24407
-2.8734403	-3.2730782	-6.0203357	-5.959278	SLOU_NAfrica_SLOU_24408
-2.5885532	-3.13055	-5.8508143	-5.9324956	SLOU_NAfrica_SLOU_24409
-4.4882064	-2.70025	-5.8793144	-6.7199173	XIGO_China_XIGO_24477
-4.577229	-2.7384825	-5.8479557	-6.7403827	XIGO_China_XIGO_24478
-4.516717	-2.7559268	-5.784329	-6.8141556	XIGO_China_XIGO_24479
-4.8642693	-2.8574183	-5.849315	-6.691491	XIGO_China_XIGO_24480
-4.5351	-2.7020512	-5.8513665	-6.7553873	XIGO_China_XIGO_24481
2.7402375	0.90694886	-6.1793923	-6.662447	CANE_Italy_CANE_24509
2.6634016	0.9130092	-6.1873193	-6.6529875	CANE_Italy_CANE_24515
-2.2909875	-7.5001254	-5.946159	-5.3528676	VPIN_Italy_VPIN_24518
2.8301306	0.78583866	-5.964861	-6.9173627	CANE_Italy_CANE_24519
2.7587051	0.88144594	-6.1267495	-6.748218	CANE_Italy_CANE_24520
-2.2432656	-7.483964	-6.008181	-5.2862387	VPIN_Italy_VPIN_24529
-1.1918395	-6.255773	-5.9670596	-4.8894773	CPAT_Italy_CPAT_24532
-1.2396733	-7.360117	-6.3453565	-5.257936	VPIN_Italy_VPIN_24536
-2.015493	-7.2147646	-6.2105236	-5.14408	MAAB_Italy_MAAB_24539
-0.22380134	-4.277546	-6.390737	-5.0569324	CPAT_Italy_CPAT_24540
-2.644177	-3.2843635	-5.76415	-5.8348355	LVMD_Italy_LVMD_24542
-2.6107109	-3.1978948	-5.792934	-5.940807	LVMD_Italy_LVMD_24544
-0.9371223	-5.4186816	-6.277633	-5.2568645	MAAB_Italy_MAAB_24546
-2.2000213	-7.4026814	-6.1889052	-5.2252865	VPIN_Italy_VPIN_24547
3.337847	0.8073023	-5.9539323	-6.5922318	CANE_Italy_CANE_24548
-6.2789297	-3.6107295	-5.691001	-6.371618	TIBM_China_TIBM_25310
-5.2719455	-3.082188	-6.025952	-6.5036955	TIBM_China_TIBM_25311
-5.4219165	-3.1297045	-6.1542325	-6.3941183	TIBM_China_TIBM_25312
-5.2718844	-3.0805483	-6.028339	-6.5052114	TIBM_China_TIBM_25313
-5.541479	-3.2024362	-6.0749283	-6.4293785	TIBM_China_TIBM_25314
-1.6359197	-7.1311207	-6.10835	-5.008832	CIRN_Italy_CIRN_26277
-1.1516159	-6.288802	-6.0559974	-5.167194	CIRN_Italy_CIRN_26437
-1.5968153	-7.1423144	-6.0968814	-5.024137	CIRN_Italy_CIRN_26438
-1.536929	-7.041937	-6.0499206	-5.07491	CIRN_Italy_CIRN_26441
-1.5073534	-6.9151163	-6.061158	-5.014085	CIRN_Italy_CIRN_26635
3.6132889	3.5497906	-7.402159	-6.8160505	BOX_BOX_000997
5.9740562	-8.778855	-5.007894	-4.9466248	SCOT_SCOT_28349
3.926705	-7.431762	-5.5440273	-5.6689863	FCR_FCR_024743
11.817911	6.010574	-6.04988	-4.937265	BULT_BULT_23661
13.97971	7.2268877	-7.1392593	-5.710512	BULT_BULT_23667
13.929044	7.2211084	-6.6784396	-5.323994	BULT_BULT_23674
13.713933	7.106376	-6.6218038	-5.341857	BULT_BULT_23678
11.819216	6.1015935	-6.474303	-5.3721004	BULT_BULT_23630
11.882965	6.108327	-7.110341	-5.746252	BULT_BULT_23631
11.489433	5.9090414	-6.431736	-5.313415	BULT_BULT_23632
14.639226	7.5774307	-6.7062807	-5.2669883	BULT_BULT_23638
7.594327	-6.0645924	-5.5868125	-5.3619657	WHWT_WHWT_12409
7.5785065	-6.086964	-5.58594	-5.49728	WHWT_WHWT_12704
7.472233	-6.017045	-5.5560565	-5.4319487	WHWT_WHWT_12416
8.630225	-6.518153	-5.8587394	-5.32665	SCOT_SCOT_15078
7.643362	-5.803212	-5.7335443	-5.306983	WHWT_WHWT_08382
8.509966	-6.5107923	-5.8739333	-5.3886724	SCOT_SCOT_07975
7.6187415	-6.071299	-5.584048	-5.3168697	WHWT_WHWT_08282
8.487973	-6.397404	-5.8084126	-5.4961257	SCOT_SCOT_08381
8.49101	-6.4468546	-5.7526317	-5.4403076	SCOT_SCOT_09020
7.6933947	-6.1020913	-5.7398324	-5.2897797	WHWT_WHWT_09291
7.587229	-6.0742297	-5.739845	-5.2530675	WHWT_WHWT_09351
7.7242203	-6.111398	-5.566602	-5.4242487	WHWT_WHWT_10027
5.1112156	-3.7881424	-5.242385	-5.6317263	AUST_AUST_27161
12.172495	-16.428251	-5.370849	-4.9601526	SSHP_SSHP_26992
3.9133496	-7.613867	-5.4079394	-5.62886	FCR_FCR_027007
1.7695562	0.3248772	-6.050149	-6.297187	STBD_STBD_27063
2.8238328	0.5532971	-6.2879424	-6.8488717	DANE_DANE_27184
3.8512268	-7.2889256	-5.4859977	-5.8022494	FCR_FCR_027420
-3.982636	-5.426877	-6.5067534	-5.3534293	SAMO_SAMO_27207
11.6854725	-15.492195	-5.381745	-5.0440516	SSHP_SSHP_27126
-2.0403824	-3.7512062	-5.301622	-5.395844	BORZ_BORZ_27195
-2.445849	-10.703802	-5.614406	-5.0292025	HAVA_HAVA_27428
11.765471	-15.396599	-5.260884	-4.968468	SSHP_SSHP_27440
-13.939164	-13.271833	-5.4896827	-4.2728314	BSJI_BSJI_27387
-5.0245466	-4.237834	-5.7159653	-5.4487844	AFGH_AFGH_27384
10.98189	3.7469676	-4.094498	-5.4044123	STAF_STAF_27382
-2.011444	-3.7223835	-5.2320924	-5.345662	BORZ_BORZ_27197
3.124434	-5.129281	-6.244354	-5.7611923	GOLD_GOLD_27014
-4.0050583	-5.5086713	-6.414587	-5.28022	SAMO_SAMO_27205
-2.6431775	-7.9231124	-5.7615595	-5.352298	SSNZ_SSNZ_27424
3.8175507	-7.2699223	-5.4829125	-5.826866	FCR_FCR_027273
7.7226253	6.456846	-8.169788	-5.9534698	BOX_BOX_027200
11.977257	-16.40762	-5.3965335	-4.847183	SSHP_SSHP_27147
-0.09576771	-14.635727	-5.505085	-4.7492714	ACKR_ACKR_27116
-1.9591724	-7.604859	-6.1999846	-5.083892	CHIH_CHIH_27201
11.969508	-16.272593	-5.387481	-4.789962	SSHP_SSHP_27148
3.2193854	-5.2510195	-6.028124	-5.7039785	GOLD_GOLD_26997
-3.3656487	-3.4902976	-6.2165804	-5.6867714	SALU_SALU_27311
1.7677485	0.33426648	-6.0483966	-6.270587	STBD_STBD_27062
12.222128	-16.504284	-5.472679	-4.819438	SSHP_SSHP_27150
15.626078	-4.407094	-3.9902427	-5.4756536	WHIP_WHIP_27181
0.15698943	-0.32730788	-5.5172668	-6.105713	SPOO_SPOO_27151
-14.191227	-13.421176	-5.5277967	-4.410286	BSJI_BSJI_27182
-3.4188066	-3.556399	-6.1834397	-5.7519937	SALU_SALU_27314
0.30726084	-0.5176781	-5.521649	-6.031315	SPOO_SPOO_27218
3.2674785	-5.3295593	-5.9938216	-5.7542	GOLD_GOLD_27004
-3.469861	-3.6873443	-6.203887	-5.7757454	SALU_SALU_27317
