mean1	mean2	sd1	sd2	sampleID
-4.345487	1.8858696	-3.94379	-4.6376724	AA_AD_066
-3.7828052	1.8642968	-3.8863976	-4.6614375	AA_AD_064
-4.545604	2.1179762	-3.852524	-4.5609245	AA_AD_505
-4.136356	1.6382251	-3.8741195	-4.634166	AA_AD_523
-3.592717	1.7427521	-3.8220055	-4.630758	AA_AD_500
-4.5067425	2.1605706	-3.864657	-4.5562143	AA_AD_510
-3.8832743	1.9332124	-3.8962982	-4.5850368	AA_AD_015
-4.1447525	1.9881316	-3.8451192	-4.619052	AA_AD_061
-4.075747	1.6395154	-3.9078162	-4.631903	AA_AD_076
-4.3096347	0.073140234	-4.0663977	-4.680139	AA_AD_512
-3.866156	1.9847747	-3.8574088	-4.6018553	AA_AD_006
-4.2502294	2.1520135	-3.8593252	-4.5591707	AA_AD_511
-5.540422	-0.6515577	-4.538659	-4.367049	Algerian_Algerian43A13
-4.5351815	-0.58735836	-4.2315073	-4.52813	Algerian_Algerian43A21
-4.7184033	-0.51780856	-4.28971	-4.52636	Algerian_Algerian43A22
-5.287381	-0.6686286	-4.420062	-4.391336	Algerian_Algerian43A23
-5.556371	-0.6063322	-4.485684	-4.3504853	Algerian_Algerian43A24
-4.686089	-0.7497041	-4.3038507	-4.52092	Algerian_Algerian43A32
-5.204091	-0.9651036	-4.400753	-4.383828	Algerian_Algerian43A34
-2.6861484	1.5438721	-3.7075474	-4.729639	BantuKenya_HGDP01405
-3.0488966	1.5597948	-3.7228405	-4.7047167	BantuKenya_HGDP01408
-2.390354	1.4918665	-3.640705	-4.7547917	BantuKenya_HGDP01414
-2.972937	1.8616346	-3.7973425	-4.684377	BantuKenya_HGDP01417
-2.7203915	1.4704283	-3.717128	-4.708617	BantuKenya_HGDP01418
-2.727619	1.5078831	-3.7451732	-4.726279	BantuKenya_HGDP01419
-2.086561	1.7915328	-3.6603377	-4.706218	BantuSA_HGDP01028
-2.1300712	1.7738985	-3.6383836	-4.6636453	BantuSA_HGDP01035
-2.3760211	1.8709526	-3.7877364	-4.6863737	BantuSA_HGDP01031
-2.3142786	2.4531002	-3.7710326	-4.687501	BantuSA_HGDP00993
-1.7021258	1.8430244	-3.542749	-4.6008677	BantuSA_HGDP00994
-1.5573146	1.9156855	-3.5146506	-4.59464	BantuSA_HGDP01030
-2.4778678	2.3816273	-3.7354667	-4.6665134	BantuSA_HGDP01034
-1.9427984	1.7801808	-3.6602619	-4.63093	BantuSA_HGDP01033
-3.532295	4.030617	-3.8625963	-4.132868	Biaka_HGDP00454
-2.8807998	3.5183685	-3.7954404	-4.304528	Biaka_HGDP00455
-3.3300478	3.8864405	-3.7508593	-4.1171446	Biaka_HGDP00457
-3.16216	3.8945777	-3.8433912	-4.2300873	Biaka_HGDP00458
-3.526638	3.9395037	-3.8009875	-4.1577625	Biaka_HGDP00459
-2.857907	3.530132	-3.789304	-4.278361	Biaka_HGDP00460
-3.4829655	4.07696	-3.737692	-4.116047	Biaka_HGDP00461
-3.4824128	4.0653057	-3.7677047	-4.1001053	Biaka_HGDP00464
-3.4950922	4.04792	-3.856899	-4.123879	Biaka_HGDP00465
-2.9588938	3.6711295	-3.8268464	-4.226525	Biaka_HGDP00466
-3.585402	3.9858987	-3.8745058	-4.116517	Biaka_HGDP00469
-2.8999991	3.6234932	-3.8206017	-4.190173	Biaka_HGDP00470
-3.5744665	4.1003194	-3.7634828	-4.099672	Biaka_HGDP00472
-3.3619516	3.7827365	-3.7991416	-4.146745	Biaka_HGDP00473
-3.5240114	3.9335103	-3.7921593	-4.11003	Biaka_HGDP00475
-3.4751694	3.9650264	-3.8296785	-4.1456566	Biaka_HGDP00985
-3.4130719	3.9343405	-3.795675	-4.117501	Biaka_HGDP00986
-3.5429902	3.9850347	-3.821573	-4.1131682	Biaka_HGDP01086
-3.5728738	4.096651	-3.8446548	-4.096582	Biaka_HGDP01090
-3.2390904	3.9210703	-3.8105156	-4.1424813	Biaka_HGDP01094
-3.1254392	0.58890533	-3.6286345	-4.946123	Datog_GOR049
-3.1900601	0.59096587	-3.7492678	-4.952805	Datog_GOR063
-3.2531226	0.5615369	-3.7614174	-5.0036306	Datog_GOR067
-3.9396763	-0.91161835	-4.262138	-4.6426907	Egyptian_Egypt12AQ172
-3.8760908	-0.9197122	-4.21144	-4.652906	Egyptian_Egypt15AQ172
-3.9534438	-0.9349321	-4.212063	-4.6632843	Egyptian_Egypt17AQ176
-3.9060957	-1.1178703	-4.3092446	-4.6211424	Egyptian_Egypt1AQ172
-3.736989	-0.8843379	-4.228502	-4.6940928	Egyptian_Egypt22TD21
-4.0091767	-1.0769442	-4.256649	-4.5859003	Egyptian_Egypt3AQ172
-3.8562047	-0.9756874	-4.2661076	-4.665777	Egyptian_Egypt5AQ172
-3.9405072	-1.019288	-4.2495575	-4.6600513	Egyptian_Egypt7AQ172
-3.6697145	-0.78684294	-4.206933	-4.7319293	Egyptian_Egypt8AT113
-3.9687645	-1.1500605	-4.2609777	-4.608576	Egyptian_Egypt9AQ172
-3.7781217	-0.8809298	-4.3198557	-4.6801972	Egyptian_Egypt9AQ177
-3.6772313	-0.8740188	-4.191182	-4.7094345	Egyptian_Egypt1
-3.6783264	-0.8481966	-4.175375	-4.6619167	Egyptian_Egypt10
-3.4378002	-0.7037631	-4.1395264	-4.752967	Egyptian_Egypt11
-3.7976916	-1.135676	-4.2698083	-4.6446548	Egyptian_Egypt12
-3.6155806	-0.68965685	-4.1409836	-4.7509184	Egyptian_Egypt3
-3.5783525	-0.85882807	-4.178411	-4.7586927	Egyptian_Egypt7
-3.556675	-0.95848763	-4.230603	-4.76898	Egyptian_Egypt9
-3.594756	2.5094705	-3.882426	-4.3983774	Esan_HG02922
-3.3660002	2.4758291	-3.8461637	-4.470395	Esan_HG02923
-3.6089377	2.5187697	-3.8726282	-4.370462	Esan_HG02943
-3.4499393	2.456874	-3.8462741	-4.411779	Esan_HG02974
