mean1	mean2	sd1	sd2	sampleID
-2.1465757	3.9433062	-5.616515	-4.2297106	AA_AD_066
-2.5017285	3.9578867	-5.825445	-4.189978	AA_AD_064
-2.6394978	4.213103	-5.8245773	-4.153302	AA_AD_505
-2.049986	3.8369303	-5.662647	-4.250411	AA_AD_523
-1.4974533	3.4213715	-5.4993215	-4.221812	AA_AD_500
-2.4232535	4.2077193	-5.7920165	-4.1694827	AA_AD_510
-2.7781389	4.155873	-5.940008	-4.141957	AA_AD_015
-2.264481	3.967175	-5.7017765	-4.2155643	AA_AD_061
-1.9731344	4.00108	-5.5621576	-4.2024684	AA_AD_076
0.16176786	3.706707	-4.5147977	-4.02028	AA_AD_512
-2.6038733	3.961797	-5.858105	-4.2303147	AA_AD_006
-1.6838778	3.67208	-5.515213	-4.229047	AA_AD_511
0.298929	5.4753494	-4.2105417	-3.8224604	Algerian_Algerian43A13
0.33535793	4.733626	-4.3047824	-3.876204	Algerian_Algerian43A21
0.3213654	4.975195	-4.2592063	-3.8462512	Algerian_Algerian43A22
0.29968205	5.4039106	-4.2047386	-3.8087368	Algerian_Algerian43A23
0.28222826	5.518872	-4.188862	-3.7934384	Algerian_Algerian43A24
0.68990624	3.9473495	-4.441824	-3.864042	Algerian_Algerian43A32
0.607656	5.1430774	-4.15059	-3.766086	Algerian_Algerian43A34
-3.067691	4.037743	-6.071677	-4.1202884	BantuKenya_HGDP01405
-2.7737684	4.079779	-5.9166126	-4.150218	BantuKenya_HGDP01408
-3.1053953	4.095839	-6.070666	-4.1603503	BantuKenya_HGDP01414
-1.79683	3.625298	-5.607172	-4.2013154	BantuKenya_HGDP01417
-2.8516526	3.9869344	-5.988639	-4.200389	BantuKenya_HGDP01418
-3.0803382	4.247072	-6.0513906	-4.1022897	BantuKenya_HGDP01419
-3.6579623	3.809644	-6.3067393	-4.209436	BantuSA_HGDP01028
-3.8260064	3.711049	-6.3292294	-4.2374763	BantuSA_HGDP01035
-3.7766054	3.876432	-6.3484783	-4.1781306	BantuSA_HGDP01031
-1.6204209	2.6021967	-5.736621	-4.3585258	BantuSA_HGDP00993
-3.9605908	3.2548268	-6.343732	-4.341685	BantuSA_HGDP00994
-3.8171005	3.006581	-6.322007	-4.409055	BantuSA_HGDP01030
-1.595443	2.5579176	-5.725426	-4.361163	BantuSA_HGDP01034
-3.7500055	3.5624695	-6.265189	-4.285025	BantuSA_HGDP01033
-4.869947	2.9267163	-6.568985	-4.3462157	Biaka_HGDP00454
-2.8076158	2.3806615	-6.071375	-4.581154	Biaka_HGDP00455
-5.157912	3.0042422	-6.6757603	-4.2836814	Biaka_HGDP00457
-5.1171594	3.0711403	-6.668456	-4.2580285	Biaka_HGDP00458
-5.118755	2.9531312	-6.685871	-4.312464	Biaka_HGDP00459
-2.7881014	2.278852	-6.0658703	-4.605889	Biaka_HGDP00460
-5.043194	2.8605208	-6.6491942	-4.3009734	Biaka_HGDP00461
-5.198395	3.027636	-6.7227993	-4.2680717	Biaka_HGDP00464
-5.3162208	3.0690994	-6.7478304	-4.22713	Biaka_HGDP00465
-4.1856174	2.434942	-6.4113564	-4.570671	Biaka_HGDP00466
-5.20745	3.0604358	-6.6680727	-4.2601895	Biaka_HGDP00469
-4.082616	2.304498	-6.3838406	-4.57643	Biaka_HGDP00470
-5.0791664	2.8762572	-6.6596775	-4.297652	Biaka_HGDP00472
-5.140953	2.9018435	-6.693384	-4.3046746	Biaka_HGDP00473
-5.1125607	3.0515864	-6.649374	-4.2560425	Biaka_HGDP00475
-4.9873104	3.0252087	-6.6320434	-4.277045	Biaka_HGDP00985
-4.892743	3.0103672	-6.590829	-4.2971745	Biaka_HGDP00986
-5.1424494	3.056251	-6.6939683	-4.253169	Biaka_HGDP01086
-5.20129	3.084084	-6.702808	-4.211057	Biaka_HGDP01090
-5.290176	3.060624	-6.713912	-4.2496157	Biaka_HGDP01094
-0.72983074	3.3541527	-5.1181393	-4.0941877	Datog_GOR049
-0.7012801	3.1583853	-5.208293	-4.1518645	Datog_GOR063
-0.8607813	3.6284676	-5.225543	-4.2017636	Datog_GOR067
0.6540991	3.7275546	-4.547908	-3.8847609	Egyptian_Egypt12AQ172
0.7962035	4.188321	-4.330088	-3.7740839	Egyptian_Egypt15AQ172
0.68999445	3.9934206	-4.4703026	-3.8469548	Egyptian_Egypt17AQ176
0.68284297	3.4570885	-4.5863037	-3.8486447	Egyptian_Egypt1AQ172
0.8273835	3.9537854	-4.459171	-3.8138592	Egyptian_Egypt22TD21
0.81482494	3.8369284	-4.500375	-3.8406668	Egyptian_Egypt3AQ172
0.6806418	3.725176	-4.544674	-3.861651	Egyptian_Egypt5AQ172
0.7138233	3.8728492	-4.482877	-3.8263836	Egyptian_Egypt7AQ172
0.6054194	3.7817693	-4.5038695	-3.874424	Egyptian_Egypt8AT113
0.67655563	3.8255277	-4.508333	-3.8571978	Egyptian_Egypt9AQ172
0.72906876	4.0811005	-4.4098897	-3.8234065	Egyptian_Egypt9AQ177
0.52715343	3.4134364	-4.671168	-3.954539	Egyptian_Egypt1
0.721332	4.261877	-4.371082	-3.8207533	Egyptian_Egypt10
0.4966947	3.3515234	-4.6350837	-3.9230738	Egyptian_Egypt11
0.6237222	3.5370042	-4.568515	-3.8761315	Egyptian_Egypt12
0.5074644	3.3809874	-4.610992	-3.9149826	Egyptian_Egypt3
0.7201091	4.1348457	-4.4417405	-3.8457382	Egyptian_Egypt7
0.762704	3.533943	-4.5657954	-3.852972	Egyptian_Egypt9
-4.0485044	4.4753675	-6.4232435	-3.8602557	Esan_HG02922
-3.7408206	4.3636737	-6.36131	-3.9599154	Esan_HG02923
-3.8900554	4.2533207	-6.37049	-4.0210953	Esan_HG02943
-3.802262	4.2014194	-6.3001842	-4.047272	Esan_HG02974
-2.1943479	3.5997639	-5.7617826	-4.2503695	Esan_HG03099
-3.880598	4.2741785	-6.380375	-4.006038	Esan_HG03100
-3.7967882	4.317114	-6.3354206	-4.020787	Esan_HG03108
-2.1354072	3.8089926	-5.7096663	-4.1969266	Esan_HG03109
-0.24534713	3.7716417	-4.777006	-3.9734538	Jew_Ethiopian_EthiopianJew1570
-0.11030982	3.9214902	-4.7803717	-4.006078	Jew_Ethiopian_EthiopianJew1574
-0.25000498	3.7230005	-4.8382373	-3.9997954	Jew_Ethiopian_EthiopianJew1804
-0.20169102	3.8593855	-4.78309	-3.9944417	Jew_Ethiopian_EthiopianJew1818
-0.22898887	3.8773336	-4.814098	-3.9925828	Jew_Ethiopian_EthiopianJew1822
-0.24686204	3.9871283	-4.7568393	-3.9871197	Jew_Ethiopian_EthiopianJew1831
-0.22733842	3.5861216	-4.8338165	-3.9872272	Jew_Ethiopian_EthiopianJew4690
-3.589799	4.2228875	-6.2458744	-4.0825706	Gambian_HG02464
-3.5714905	4.1738024	-6.243416	-4.097974	Gambian_HG02465
-3.4609408	4.226929	-6.1901093	-4.0756197	Gambian_HG02570
-3.5405917	4.3238688	-6.2356777	-4.0468564	Gambian_HG02571
-1.9296758	3.823573	-5.61776	-4.20021	Gambian_HG02573
-3.2313187	4.283068	-6.1009684	-4.104022	Gambian_HG02574
-0.9144777	1.2470663	-5.707608	-4.3952603	Hadza_Bar04
-0.83796	1.1929977	-5.717387	-4.341223	Hadza_Bar08
-0.7286161	1.1418513	-5.6437964	-4.350609	Hadza_Bar10
-0.6188531	1.2460878	-5.424199	-4.2085786	Hadza_Bar13
-0.8374788	1.3143911	-5.627529	-4.3539963	Hadza_End08
-5.3040504	-2.0875282	-7.0125265	-4.628627	Ju_hoan_North_HGDP00987
-5.2033544	-1.8815308	-6.9298296	-4.720622	Ju_hoan_North_HGDP00991
-4.799273	-1.1366379	-6.8389835	-4.8437123	Ju_hoan_North_HGDP00992
-3.5184886	-2.6855626	-6.6067247	-4.943328	Ju_hoan_North_HGDP01032
-5.10089	-2.0038128	-6.999259	-4.648584	Ju_hoan_North_HGDP01036
-5.0287905	-1.8182786	-6.9243793	-4.7185016	Khomani_SA010
-5.03635	-1.1221454	-6.858817	-4.7418103	Khomani_SA016
-4.8571677	-1.6247067	-6.8793135	-4.819839	Khomani_SA018
-3.5380185	-2.8344328	-6.5785747	-4.900273	Khomani_SA047
-4.14849	-0.32199332	-6.657217	-4.939179	Khomani_SA063
-3.0074975	-2.455355	-6.418129	-5.115721	Khomani_SA064
-3.802348	-1.8826941	-6.680916	-5.000661	Khomani_SA073
-0.63718283	0.43828562	-5.598504	-4.530867	Khomani_SA078
-0.528705	0.8223806	-5.4986005	-4.3720202	Khomani_SA083
-3.3586383	0.8743054	-6.336223	-4.8945494	Khomani_SA1004
-4.6778064	-1.8157066	-6.8213997	-4.853448	Khomani_SA1025
-1.0457544	3.271898	-5.371742	-4.1739817	Kikuyu_Ayodo_47K
-1.5692772	3.7123017	-5.4595346	-4.241024	Kikuyu_Ayodo_61K
-1.8809035	3.8422327	-5.564748	-4.22729	Kikuyu_Ayodo_67K
-1.5324556	3.6102214	-5.5032473	-4.283078	Kikuyu_Ayodo_83K
0.50375164	4.884869	-4.257591	-3.8270235	Libyan_LIB7
0.5077275	4.4522586	-4.401457	-3.8758807	Libyan_LIB13
0.5711874	4.379289	-4.329261	-3.8579566	Libyan_LIB18
0.50655323	4.6927996	-4.3036475	-3.8520625	Libyan_LIB27
0.5620255	4.6105957	-4.3161764	-3.8418646	Libyan_LIB30
1.6079155	4.224163	-4.1554446	-3.56901	Jew_Libyan_LibyanJew1104
1.5792474	4.2035475	-4.1969824	-3.607405	Jew_Libyan_LibyanJew1263
1.3194283	3.9059436	-4.36734	-3.685498	Jew_Libyan_LibyanJew1438
1.7943774	3.8983154	-4.2183127	-3.6074739	Jew_Libyan_LibyanJew1462
